BOM_ID,PARENT_PRODUCT_ID,PARENT_COMPONENT_ID,CHILD_MATERIAL_ID,CHILD_COMPONENT_ID,QUANTITY_REQUIRED,UNIT_OF_MEASURE,SCRAP_FACTOR,EFFECTIVE_DATE,EXPIRATION_DATE
10001,5001,,101,,2.5,kg,0.05,2024-01-01,
10002,5001,,102,,1.2,m2,0.03,2024-01-01,
10003,5001,,,1001,1,pieces,0.02,2024-01-01,
10004,5001,,,1002,2,pieces,0.01,2024-01-01,
10005,5002,,103,,3.8,kg,0.04,2024-01-01,
10006,5002,,104,,0.8,kg,0.06,2024-01-01,
10007,5002,,,1003,1,pieces,0.02,2024-01-01,
10008,5002,,,1004,1,pieces,0.03,2024-01-01,
10009,5003,,105,,1.5,kg,0.03,2024-01-01,
10010,5003,,106,,2.2,m,0.02,2024-01-01,
10011,5003,,,1005,3,pieces,0.01,2024-01-01,
10012,5004,,107,,4.2,kg,0.05,2024-01-01,
10013,5004,,108,,1.8,kg,0.04,2024-01-01,
10014,5004,,,1001,2,pieces,0.02,2024-01-01,
10015,5005,,109,,2.1,kg,0.03,2024-01-01,
10016,5005,,110,,3.5,m,0.02,2024-01-01,
10017,5005,,,1002,1,pieces,0.01,2024-01-01,
10018,6001,,111,,5.5,kg,0.06,2024-01-01,
10019,6001,,112,,2.8,kg,0.04,2024-01-01,
10020,6001,,,2001,1,pieces,0.02,2024-01-01,
10021,6001,,,2002,2,pieces,0.03,2024-01-01,
10022,6002,,113,,3.2,kg,0.05,2024-01-01,
10023,6002,,114,,1.6,kg,0.03,2024-01-01,
10024,6002,,,2003,1,pieces,0.02,2024-01-01,
10025,6002,,,2004,3,pieces,0.01,2024-01-01,
10026,6003,,115,,2.9,kg,0.04,2024-01-01,
10027,6003,,116,,4.1,m,0.02,2024-01-01,
10028,6003,,,2005,2,pieces,0.02,2024-01-01,
10029,6004,,117,,1.7,kg,0.03,2024-01-01,
10030,6004,,118,,2.4,kg,0.04,2024-01-01,
10031,6004,,,2006,1,pieces,0.01,2024-01-01,
10032,6005,,119,,3.6,kg,0.05,2024-01-01,
10033,6005,,120,,1.9,m,0.02,2024-01-01,
10034,6005,,,2007,2,pieces,0.02,2024-01-01,
10035,6005,,,2008,1,pieces,0.03,2024-01-01,
10036,7001,,121,,1.3,kg,0.03,2024-01-01,
10037,7001,,122,,0.9,kg,0.02,2024-01-01,
10038,7001,,,3001,1,pieces,0.01,2024-01-01,
10039,7002,,123,,2.7,kg,0.04,2024-01-01,
10040,7002,,124,,1.4,kg,0.03,2024-01-01,
10041,7002,,,3002,1,pieces,0.02,2024-01-01,
10042,7003,,125,,3.8,kg,0.05,2024-01-01,
10043,7003,,126,,2.1,m,0.02,2024-01-01,
10044,7003,,,3003,2,pieces,0.01,2024-01-01,
10045,7004,,127,,1.6,kg,0.03,2024-01-01,
10046,7004,,128,,4.3,m,0.02,2024-01-01,
10047,7004,,,3004,3,pieces,0.02,2024-01-01,
10048,7005,,129,,2.8,kg,0.04,2024-01-01,
10049,7005,,130,,1.2,kg,0.03,2024-01-01,
10050,7005,,,3005,1,pieces,0.01,2024-01-01,
10051,7005,,,3006,2,pieces,0.02,2024-01-01,
10052,8001,,131,,8.5,kg,0.06,2024-01-01,
10053,8001,,132,,12.3,m2,0.04,2024-01-01,
10054,8001,,,4001,2,pieces,0.02,2024-01-01,
10055,8001,,,4002,1,pieces,0.03,2024-01-01,
10056,8002,,133,,6.7,kg,0.05,2024-01-01,
10057,8002,,134,,9.2,kg,0.04,2024-01-01,
10058,8002,,,4003,3,pieces,0.02,2024-01-01,
10059,8003,,135,,15.4,kg,0.07,2024-01-01,
10060,8003,,136,,7.8,m,0.03,2024-01-01,
10061,8003,,,4004,1,pieces,0.01,2024-01-01,
10062,8003,,,4005,2,pieces,0.02,2024-01-01,
10063,8004,,137,,4.9,kg,0.04,2024-01-01,
10064,8004,,138,,3.1,kg,0.03,2024-01-01,
10065,8004,,,4006,4,pieces,0.02,2024-01-01,
10066,8005,,139,,11.2,kg,0.06,2024-01-01,
10067,8005,,140,,5.6,m2,0.03,2024-01-01,
10068,8005,,,4007,2,pieces,0.02,2024-01-01,
10069,8005,,,4008,1,pieces,0.01,2024-01-01,
10070,1001,,101,,0.8,kg,0.02,2024-01-01,
10071,1001,,102,,0.3,m2,0.01,2024-01-01,
10072,1002,,103,,1.2,kg,0.03,2024-01-01,
10073,1002,,104,,0.5,kg,0.04,2024-01-01,
10074,1003,,105,,0.7,kg,0.02,2024-01-01,
10075,1003,,106,,0.9,m,0.01,2024-01-01,
10076,1004,,107,,1.1,kg,0.03,2024-01-01,
10077,1004,,108,,0.6,kg,0.02,2024-01-01,
10078,1005,,109,,0.9,kg,0.02,2024-01-01,
10079,1005,,110,,1.3,m,0.01,2024-01-01,
10080,2001,,111,,1.5,kg,0.04,2024-01-01,
10081,2001,,112,,0.8,kg,0.02,2024-01-01,
10082,2002,,113,,1.1,kg,0.03,2024-01-01,
10083,2002,,114,,0.6,kg,0.02,2024-01-01,
10084,2003,,115,,0.9,kg,0.03,2024-01-01,
10085,2003,,116,,1.4,m,0.01,2024-01-01,
10086,2004,,117,,0.7,kg,0.02,2024-01-01,
10087,2004,,118,,0.8,kg,0.03,2024-01-01,
10088,2005,,119,,1.2,kg,0.04,2024-01-01,
10089,2005,,120,,0.7,m,0.01,2024-01-01,
10090,2006,,121,,0.5,kg,0.02,2024-01-01,
10091,2006,,122,,0.4,kg,0.01,2024-01-01,
10092,2007,,123,,0.8,kg,0.03,2024-01-01,
