MFG_PLANT_ID,MATERIAL_ID,COMPONENT_ID,PRODUCT_ID,QUANTITY_ON_HAND,QUANTITY_ON_ORDER,SAFETY_STOCK_LEVEL,REPLENISHMENT_POINT,LAST_UPDATED_TIMESTAMP,MATERIAL_LEAD_TIME,DAYS_FORWARD_COVERAGE,LEAD_TIME_VARIABILITY
1001,101,,,750,500,1000,1800,2024-12-20T09:27:34.709Z,14,12,3
1001,102,,,600,300,800,1400,2024-12-20T09:27:34.709Z,21,18,4
1001,103,,,35,25,50,90,2024-12-20T09:27:34.709Z,7,8,2
1001,,1001,,450,75,200,350,2024-12-20T09:27:34.709Z,10,28,2
1001,,1002,,325,50,150,275,2024-12-20T09:27:34.709Z,12,32,3
1001,,,5001,85,15,25,45,2024-12-20T09:27:34.709Z,18,42,4
1001,,,5002,65,10,20,35,2024-12-20T09:27:34.709Z,15,38,3
1002,101,,,3500,350,900,1600,2024-12-20T09:27:34.709Z,14,65,3
1002,102,,,4200,400,800,1400,2024-12-20T09:27:34.709Z,21,85,4
1002,104,,,650,350,750,1300,2024-12-20T09:27:34.709Z,16,15,3
1002,105,,,400,200,500,900,2024-12-20T09:27:34.709Z,12,12,2
1002,106,,,875,125,350,650,2024-12-20T09:27:34.709Z,18,29,4
1002,,1003,,285,45,125,225,2024-12-20T09:27:34.709Z,11,26,2
1002,,1004,,195,30,85,155,2024-12-20T09:27:34.709Z,14,31,3
1002,,,5003,75,12,18,32,2024-12-20T09:27:34.709Z,20,45,4
1002,,,5004,55,8,15,28,2024-12-20T09:27:34.709Z,17,39,3
1003,103,,,2850,450,1100,1900,2024-12-20T09:27:34.709Z,19,48,4
1003,107,,,450,275,650,1150,2024-12-20T09:27:34.709Z,15,12,3
1003,108,,,925,150,375,700,2024-12-20T09:27:34.709Z,22,33,5
1003,,1005,,385,60,165,295,2024-12-20T09:27:34.709Z,13,27,3
1003,,1006,,245,40,105,195,2024-12-20T09:27:34.709Z,16,34,3
1003,,,5005,95,18,25,48,2024-12-20T09:27:34.709Z,21,43,4
1004,104,,,3250,525,1250,2200,2024-12-20T09:27:34.709Z,17,52,4
1004,105,,,3750,325,750,1350,2024-12-20T09:27:34.709Z,14,75,3
1004,106,,,1425,225,575,1025,2024-12-20T09:27:34.709Z,21,44,4
1004,107,,,465,75,195,355,2024-12-20T09:27:34.709Z,12,29,2
1004,108,,,325,55,145,265,2024-12-20T09:27:34.709Z,15,31,3
1004,,,5006,115,22,30,58,2024-12-20T09:27:34.709Z,19,46,4
1004,,,5007,85,15,22,42,2024-12-20T09:27:34.709Z,16,38,3
1005,109,,,2750,425,1050,1875,2024-12-20T09:27:34.709Z,18,49,4
1005,110,,,1950,315,785,1425,2024-12-20T09:27:34.709Z,16,41,3
1005,111,,,325,215,535,965,2024-12-20T09:27:34.709Z,12,8,2
1005,,1009,,445,70,185,335,2024-12-20T09:27:34.709Z,14,28,3
1005,,1010,,295,50,125,235,2024-12-20T09:27:34.709Z,17,35,4
1005,,,5008,105,20,28,52,2024-12-20T09:27:34.709Z,20,47,4
1005,,,5009,75,14,20,38,2024-12-20T09:27:34.709Z,18,41,3
1006,110,,,450,285,685,1225,2024-12-20T09:27:34.709Z,15,9,3
1006,111,,,3850,195,475,865,2024-12-20T09:27:34.709Z,22,95,5
1006,112,,,365,60,155,285,2024-12-20T09:27:34.709Z,10,26,2
1006,113,,,255,45,115,205,2024-12-20T09:27:34.709Z,12,30,3
1006,,1001,,365,60,155,285,2024-12-20T09:27:34.709Z,10,26,2
1006,,1002,,255,45,115,205,2024-12-20T09:27:34.709Z,12,30,3
1006,,,5010,95,18,25,48,2024-12-20T09:27:34.709Z,21,44,4
1007,112,,,3450,575,1325,2375,2024-12-20T09:27:34.709Z,16,51,3
1007,113,,,4500,375,885,1575,2024-12-20T09:27:34.709Z,18,85,4
1007,114,,,1575,265,625,1125,2024-12-20T09:27:34.709Z,14,35,3
1007,115,,,485,80,205,375,2024-12-20T09:27:34.709Z,11,27,2
1007,,2001,,485,80,205,375,2024-12-20T09:27:34.709Z,11,27,2
1007,,2002,,335,55,145,265,2024-12-20T09:27:34.709Z,13,32,3
1007,,,6001,125,25,35,68,2024-12-20T09:27:34.709Z,19,45,4
1007,,,6002,95,18,25,48,2024-12-20T09:27:34.709Z,17,40,3
1008,114,,,850,465,1085,1975,2024-12-20T09:27:34.709Z,15,12,3
1008,115,,,1925,315,775,1425,2024-12-20T09:27:34.709Z,19,42,4
1008,116,,,385,225,555,1025,2024-12-20T09:27:34.709Z,12,8,2
1008,117,,,425,70,175,325,2024-12-20T09:27:34.709Z,14,29,3
1008,,2003,,425,70,175,325,2024-12-20T09:27:34.709Z,14,29,3
1008,,2004,,285,50,125,235,2024-12-20T09:27:34.709Z,16,36,3
1008,,,6003,105,20,28,52,2024-12-20T09:27:34.709Z,20,46,4
1008,,,6004,85,15,22,42,2024-12-20T09:27:34.709Z,18,39,3
1009,116,,,4250,685,1625,2925,2024-12-20T09:27:34.709Z,17,54,4
1009,117,,,4750,445,1085,1975,2024-12-20T09:27:34.709Z,21,85,5
1009,118,,,850,305,745,1365,2024-12-20T09:27:34.709Z,13,18,3
1009,119,,,565,95,235,435,2024-12-20T09:27:34.709Z,12,31,2
1009,,2005,,565,95,235,435,2024-12-20T09:27:34.709Z,12,31,2
1009,,2006,,385,65,165,305,2024-12-20T09:27:34.709Z,15,33,3
1009,,,6005,145,28,38,75,2024-12-20T09:27:34.709Z,22,49,5
1009,,,6006,115,22,30,58,2024-12-20T09:27:34.709Z,19,43,4
1010,118,,,650,595,1385,2525,2024-12-20T09:27:34.709Z,18,8,4
1010,119,,,2450,405,935,1675,2024-12-20T09:27:34.709Z,16,45,3
1010,120,,,1725,285,685,1225,2024-12-20T09:27:34.709Z,20,41,4
1010,,2007,,505,85,215,395,2024-12-20T09:27:34.709Z,14,30,3
1010,,2008,,345,60,155,285,2024-12-20T09:27:34.709Z,17,37,4
1010,,,6007,135,26,35,68,2024-12-20T09:27:34.709Z,21,47,4
1010,,,6008,105,20,28,52,2024-12-20T09:27:34.709Z,18,42,3
1011,120,,,3150,525,1185,2175,2024-12-20T09:27:34.709Z,15,49,3
1011,121,,,2175,365,855,1575,2024-12-20T09:27:34.709Z,19,44,4
1011,122,,,525,255,605,1125,2024-12-20T09:27:34.709Z,12,10,2
1011,,2009,,445,75,185,335,2024-12-20T09:27:34.709Z,13,28,3
1011,,2010,,305,55,135,255,2024-12-20T09:27:34.709Z,16,34,3
