SOURCE_FACILITY_ID,DESTINATION_FACILITY_ID,TRANSPORT_COST_SURCHARGE
1001,1002,1.25
1001,1003,1.30
1001,1004,1.15
1001,1005,1.35
1001,1006,1.20
1001,1007,1.40
1001,1008,1.10
1001,1009,1.45
1001,1010,1.05
1001,1011,1.30
1001,1012,1.50
1001,1013,1.18
1001,1014,1.32
1001,1015,1.42
1001,1016,1.08
1001,1017,1.38
1001,1018,1.48
1001,1019,1.22
1001,1020,1.28
1001,1021,1.35
1001,1022,1.12
1001,1023,1.25
1001,1024,1.45
1002,1001,1.25
1002,1003,1.15
1002,1004,1.40
1002,1005,1.45
1002,1006,1.35
1002,1007,1.25
1002,1008,1.20
1002,1009,1.50
1002,1010,1.55
1002,1011,1.40
1002,1012,1.10
1002,1013,1.28
1002,1014,1.38
1002,1015,1.52
1002,1016,1.18
1002,1017,1.12
1002,1018,1.58
1002,1019,1.32
1002,1020,1.22
1002,1021,1.15
1002,1022,1.35
1002,1023,1.42
1002,1024,1.48
1003,1001,1.30
1003,1002,1.15
1003,1004,1.25
1003,1005,1.20
1003,1006,1.10
1003,1007,1.35
1003,1008,1.40
1003,1009,1.30
1003,1010,1.45
1003,1011,1.25
1003,1012,1.50
1003,1013,1.22
1003,1014,1.18
1003,1015,1.45
1003,1016,1.32
1003,1017,1.42
1003,1018,1.55
1003,1019,1.38
1003,1020,1.48
1003,1021,1.35
1003,1022,1.28
1003,1023,1.15
1003,1024,1.52
1004,1001,1.15
1004,1002,1.40
1004,1003,1.25
1004,1005,1.10
1004,1006,1.05
1004,1007,1.30
1004,1008,1.35
1004,1009,1.20
1004,1010,1.50
1004,1011,1.45
1004,1012,1.55
1004,1013,1.35
1004,1014,1.25
1004,1015,1.38
1004,1016,1.22
1004,1017,1.48
1004,1018,1.42
1004,1019,1.12
1004,1020,1.58
1004,1021,1.45
1004,1022,1.18
1004,1023,1.32
1004,1024,1.28
1005,1001,1.35
1005,1002,1.45
1005,1003,1.20
1005,1004,1.10
1005,1006,1.25
1005,1007,1.40
1005,1008,1.30
1005,1009,1.15
1005,1010,1.35
1005,1011,1.05
1005,1012,1.50
1005,1013,1.42
1005,1014,1.38
1005,1015,1.28
1005,1016,1.45
1005,1017,1.35
1005,1018,1.22
1005,1019,1.18
1005,1020,1.12
1005,1021,1.52
1005,1022,1.48
1005,1023,1.55
1005,1024,1.32
1006,1001,1.20
1006,1002,1.35
1006,1003,1.10
1006,1004,1.05
1006,1005,1.25
1006,1007,1.15
1006,1008,1.45
1006,1009,1.40
1006,1010,1.55
1006,1011,1.30
1006,1012,1.25
1006,1013,1.32
1006,1014,1.42
1006,1015,1.35
1006,1016,1.28
1006,1017,1.52
1006,1018,1.38
1006,1019,1.48
1006,1020,1.45
1006,1021,1.18
1006,1022,1.22
1006,1023,1.58
1006,1024,1.15
1007,1001,1.40
1007,1002,1.25
1007,1003,1.35
1007,1004,1.30
1007,1005,1.40
1007,1006,1.15
1007,1008,1.05
1007,1009,1.45
1007,1010,1.50
1007,1011,1.35
1007,1012,1.20
1007,1013,1.18
1007,1014,1.12
1007,1015,1.32
1007,1016,1.38
1007,1017,1.55
1007,1018,1.25
1007,1019,1.42
1007,1020,1.52
1007,1021,1.48
1007,1022,1.35
1007,1023,1.28
1007,1024,1.45
1008,1001,1.10
1008,1002,1.20
1008,1003,1.40
1008,1004,1.35
1008,1005,1.30
1008,1006,1.45
1008,1007,1.05
1008,1009,1.25
1008,1010,1.15
1008,1011,1.50
1008,1012,1.55
1008,1013,1.38
1008,1014,1.48
1008,1015,1.22
1008,1016,1.42
1008,1017,1.28
1008,1018,1.35
1008,1019,1.52
1008,1020,1.32
1008,1021,1.25
1008,1022,1.58
1008,1023,1.45
1008,1024,1.18
1009,1001,1.45
1009,1002,1.50
1009,1003,1.30
1009,1004,1.20
1009,1005,1.15
1009,1006,1.40
1009,1007,1.45
1009,1008,1.25
1009,1010,1.35
1009,1011,1.10
1009,1012,1.55
1009,1013,1.48
1009,1014,1.35
1009,1015,1.18
1009,1016,1.52
1009,1017,1.22
1009,1018,1.12
1009,1019,1.28
1009,1020,1.38
1009,1021,1.42
1009,1022,1.32
1009,1023,1.58
1009,1024,1.25
1010,1001,1.05
1010,1002,1.55
1010,1003,1.45
1010,1004,1.50
1010,1005,1.35
1010,1006,1.55
1010,1007,1.50
1010,1008,1.15
1010,1009,1.35
1010,1011,1.40
1010,1012,1.25
1010,1013,1.52
1010,1014,1.28
1010,1015,1.42
1010,1016,1.35
1010,1017,1.38
1010,1018,1.48
1010,1019,1.58
1010,1020,1.25
1010,1021,1.32
1010,1022,1.45
1010,1023,1.18
1010,1024,1.22
1011,1001,1.30
1011,1002,1.40
1011,1003,1.25
1011,1004,1.45
1011,1005,1.05
1011,1006,1.30
1011,1007,1.35
1011,1008,1.50
1011,1009,1.10
1011,1010,1.40
1011,1012,1.45
1011,1013,1.25
1011,1014,1.52
1011,1015,1.38
1011,1016,1.48
1011,1017,1.32
1011,1018,1.42
1011,1019,1.35
1011,1020,1.58
1011,1021,1.28
1011,1022,1.15
1011,1023,1.22
1011,1024,1.55
1012,1001,1.50
1012,1002,1.10
1012,1003,1.50
1012,1004,1.55
1012,1005,1.50
1012,1006,1.25
1012,1007,1.20
1012,1008,1.55
1012,1009,1.55
1012,1010,1.25
1012,1011,1.45
1012,1013,1.35
1012,1014,1.22
1012,1015,1.48
1012,1016,1.58
1012,1017,1.42
1012,1018,1.28
1012,1019,1.45
1012,1020,1.18
1012,1021,1.38
1012,1022,1.52
1012,1023,1.32
1012,1024,1.12
1013,1001,1.18
1013,1002,1.28
1013,1003,1.22
1013,1004,1.35
1013,1005,1.42
1013,1006,1.32
1013,1007,1.18
1013,1008,1.38
1013,1009,1.48
1013,1010,1.52
1013,1011,1.25
1013,1012,1.35
1013,1014,1.15
1013,1015,1.25
1013,1016,1.12
1013,1017,1.45
1013,1018,1.38
1013,1019,1.32
1013,1020,1.48
1013,1021,1.55
1013,1022,1.28
1013,1023,1.20
1013,1024,1.42
1014,1001,1.32
1014,1002,1.38
1014,1003,1.18
1014,1004,1.25
1014,1005,1.38
1014,1006,1.42
1014,1007,1.12
1014,1008,1.48
1014,1009,1.35
1014,1010,1.28
1014,1011,1.52
1014,1012,1.22
1014,1013,1.15
1014,1015,1.35
1014,1016,1.28
1014,1017,1.42
1014,1018,1.45
1014,1019,1.38
1014,1020,1.32
1014,1021,1.48
1014,1022,1.55
1014,1023,1.25
1014,1024,1.18
1015,1001,1.42
1015,1002,1.52
1015,1003,1.45
1015,1004,1.38
1015,1005,1.28
1015,1006,1.35
1015,1007,1.32
1015,1008,1.22
1015,1009,1.18
1015,1010,1.42
1015,1011,1.38
